date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,score1_digit,score2_digit,result1
12/13/15,2015,0,0,CIN,PIT,1653.620993,1591.229228,0.675534704,20,33,0,3,0
12/13/15,2015,0,0,CAR,ATL,1694.799348,1452.946024,0.854008123,38,0,8,0,1
12/13/15,2015,0,0,NYJ,TEN,1492.111287,1311.862882,0.804043914,30,8,0,8,1
12/13/15,2015,0,0,CHI,WSH,1442.835187,1411.684166,0.634944864,21,24,1,4,0
12/13/15,2015,0,0,CLE,SF,1325.533184,1452.583233,0.411640249,24,10,4,0,1
12/13/15,2015,0,0,KC,LAC,1639.504678,1404.500666,0.849023403,10,3,0,3,1
12/13/15,2015,0,0,JAX,IND,1325.589036,1523.539286,0.317491668,51,16,1,6,1
12/13/15,2015,0,0,DEN,OAK,1674.010803,1409.601112,0.869464764,12,15,2,5,0
12/13/15,2015,0,0,GB,DAL,1632.670988,1487.755677,0.770010352,28,7,8,7,1
12/13/15,2015,0,0,HOU,NE,1495.848934,1696.113742,0.314611599,6,27,6,7,0
12/14/15,2015,0,0,MIA,NYG,1424.261818,1482.726213,0.509404382,24,31,4,1,0
12/17/15,2015,0,0,LAR,TB,1425.670888,1409.080901,0.615305581,31,23,1,3,1
12/19/15,2015,0,0,DAL,NYJ,1474.775992,1503.167196,0.552490179,16,19,6,9,0
12/20/15,2015,0,0,BAL,KC,1469.770131,1645.030136,0.346443869,14,34,4,4,0
12/20/15,2015,0,0,NYG,CAR,1503.97487,1704.186978,0.314677018,35,38,5,8,0
12/20/15,2015,0,0,JAX,ATL,1377.650863,1443.558395,0.49869396,17,23,7,3,0
12/20/15,2015,0,0,IND,HOU,1471.477458,1477.525948,0.584033149,10,16,0,6,0
12/20/15,2015,0,0,WSH,BUF,1430.09314,1518.680187,0.466107564,35,25,5,5,1
12/20/15,2015,0,0,NE,TEN,1714.436728,1300.806973,0.940207162,33,16,3,6,1
12/20/15,2015,0,0,MIN,CHI,1537.254605,1424.426213,0.735685398,38,17,8,7,1
12/20/15,2015,0,0,SEA,CLE,1697.224383,1358.324195,0.910929424,30,13,0,3,1
12/20/15,2015,0,0,OAK,GB,1437.952964,1645.650673,0.305459338,20,30,0,0,0
12/20/15,2015,0,0,SF,CIN,1419.792222,1615.77395,0.319952209,14,24,4,4,0
12/20/15,2015,0,0,LAC,MIA,1398.975208,1403.013161,0.586842053,30,14,0,4,1
12/20/15,2015,0,0,PIT,DEN,1629.07627,1645.658951,0.569230547,34,27,4,7,1
12/20/15,2015,0,0,PHI,ARI,1513.948393,1687.288049,0.348951047,17,40,7,0,0
12/21/15,2015,0,0,NO,DET,1432.171966,1442.093013,0.57860757,27,35,7,5,0
12/24/15,2015,0,0,OAK,LAC,1424.196081,1421.755264,0.59585426,23,20,3,0,1
12/26/15,2015,0,0,PHI,WSH,1492.809672,1455.974992,0.642494506,24,38,4,8,0
12/27/15,2015,0,0,ATL,CAR,1462.958664,1712.406505,0.256971901,20,13,0,3,1
12/27/15,2015,0,0,BAL,PIT,1449.681799,1646.605683,0.318773307,20,17,0,7,1
12/27/15,2015,0,0,TEN,HOU,1297.96812,1500.881302,0.311333573,6,34,6,4,0
12/27/15,2015,0,0,DET,SF,1468.172553,1405.310202,0.676128181,32,17,2,7,1
12/27/15,2015,0,0,MIA,IND,1380.233105,1448.122104,0.495842491,12,18,2,8,0
12/27/15,2015,0,0,NYJ,NE,1518.744691,1717.275581,0.316767837,26,20,6,0,1
12/27/15,2015,0,0,KC,CLE,1665.118468,1353.973924,0.89708637,17,13,7,3,1
12/27/15,2015,0,0,BUF,DAL,1492.798335,1459.198497,0.638206038,16,6,6,6,1
12/27/15,2015,0,0,TB,CHI,1392.780233,1409.308075,0.56930795,21,26,1,6,0
12/27/15,2015,0,0,NO,JAX,1406.092426,1358.250593,0.656913513,38,27,8,7,1
12/27/15,2015,0,0,ARI,GB,1708.426771,1659.407556,0.658439397,38,8,8,8,1
12/27/15,2015,0,0,SEA,LAR,1701.574654,1441.971556,0.866292222,17,23,7,3,0
12/27/15,2015,0,0,MIN,NYG,1552.372742,1495.755343,0.668206845,49,17,9,7,1
12/28/15,2015,0,0,DEN,CIN,1628.129538,1630.25597,0.589507395,20,17,0,7,1
1/3/16,2015,0,0,BUF,NYJ,1509.404939,1547.05306,0.539281401,22,17,2,7,1
1/3/16,2015,0,0,CLE,PIT,1351.144946,1626.513216,0.229528209,12,28,2,8,0
1/3/16,2015,0,0,ATL,NO,1496.688218,1422.31129,0.690470125,17,20,7,0,0
1/3/16,2015,0,0,NYG,PHI,1473.768447,1456.322592,0.616471106,30,35,0,5,0
1/3/16,2015,0,0,DAL,WSH,1442.591893,1492.462072,0.52175981,23,34,3,4,0
1/3/16,2015,0,0,CIN,BAL,1619.190925,1469.774267,0.774567059,24,16,4,6,1
1/3/16,2015,0,0,MIA,NE,1360.961114,1688.967212,0.180348996,20,10,0,0,1
1/3/16,2015,0,0,HOU,JAX,1520.611504,1342.031729,0.802526091,30,6,0,6,1
1/3/16,2015,0,0,CHI,DET,1430.168957,1485.145373,0.514421096,20,24,0,4,0
1/3/16,2015,0,0,IND,TEN,1467.394096,1278.237918,0.81199728,30,24,0,4,1
1/3/16,2015,0,0,SF,LAR,1388.337383,1481.521574,0.459528425,19,16,9,6,1
1/3/16,2015,0,0,KC,OAK,1667.947446,1435.0681,0.847448956,23,17,3,7,1
1/3/16,2015,0,0,ARI,SEA,1730.729199,1662.024636,0.683448494,6,36,6,6,0
1/3/16,2015,0,0,DEN,LAC,1639.194583,1410.883246,0.844018339,27,20,7,0,1
1/3/16,2015,0,0,CAR,TB,1678.676952,1371.919351,0.894731437,38,10,8,0,1
1/3/16,2015,0,0,GB,MIN,1637.105127,1574.359638,0.675980854,13,20,3,0,0
1/8/16,2015,0,1,HOU,KC,1532.057145,1673.176453,0.39217521,0,30,0,0,0
1/8/16,2015,0,1,CIN,PIT,1628.217693,1638.384142,0.578263099,16,18,6,8,0
1/9/16,2015,0,1,MIN,SEA,1604.205952,1712.001008,0.438722548,9,10,9,0,0
1/9/16,2015,0,1,WSH,GB,1518.572124,1607.258814,0.465964828,18,35,8,5,0
1/15/16,2015,0,1,NE,KC,1644.321103,1699.210187,0.514546672,27,20,7,0,1
1/15/16,2015,0,1,ARI,GB,1680.752828,1633.908121,0.655618698,26,20,6,0,1
1/16/16,2015,0,1,CAR,SEA,1684.741558,1717.966943,0.545600285,31,24,1,4,1
1/16/16,2015,0,1,DEN,PIT,1644.918541,1651.414658,0.583407021,23,16,3,6,1
1/24/16,2015,0,1,CAR,ARI,1703.370453,1693.50712,0.606100017,49,15,9,5,1
1/24/16,2015,0,1,DEN,NE,1661.795356,1664.418176,0.588815751,20,18,0,8,1
2/7/16,2015,1,1,DEN,CAR,1670.580898,1730.457737,0.414673393,24,10,4,0,1
9/8/16,2016,0,0,DEN,CAR,1637.113158,1633.579265,0.59736859,21,20,1,0,1
9/11/16,2016,0,0,NO,OAK,1463.500031,1454.892729,0.604372518,34,35,4,5,0
9/11/16,2016,0,0,KC,LAC,1621.075409,1438.439525,0.806200248,33,27,3,7,1
9/11/16,2016,0,0,TEN,MIN,1349.452615,1567.160011,0.293373761,16,25,6,5,0
9/11/16,2016,0,0,JAX,GB,1388.724059,1582.435886,0.322801941,23,27,3,7,0
9/11/16,2016,0,0,NYJ,CIN,1522.163909,1578.458118,0.512526019,22,23,2,3,0
9/11/16,2016,0,0,ATL,TB,1485.832974,1412.236496,0.689509134,24,31,4,1,0
9/11/16,2016,0,0,PHI,CLE,1487.849378,1394.516013,0.713294764,29,10,9,0,1
9/11/16,2016,0,0,HOU,CHI,1505.682274,1444.023061,0.674609727,23,14,3,4,1
9/11/16,2016,0,0,BAL,BUF,1475.498332,1518.80809,0.531174279,13,7,3,7,1
9/11/16,2016,0,0,SEA,MIA,1634.558698,1438.738148,0.817783751,12,10,2,0,1
9/11/16,2016,0,0,IND,DET,1484.302061,1502.853159,0.566449924,35,39,5,9,0
9/11/16,2016,0,0,DAL,NYG,1445.987894,1468.877982,0.560306026,19,20,9,0,0
9/11/16,2016,0,0,ARI,NE,1612.613224,1605.421756,0.602422106,21,23,1,3,0
